S.No,actual,pred,alive,plod,name,title,male,culture,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
36,1,1,0.989,0.011,Ygon Farwynd,Lord,1,Ironborn,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,0,0,0,0.01003344482,1
37,1,1,0.998,0.002,Yna,prostitute ,1,Andal,Happy Port,,0,0,0,1,0,,,,,0,0,0,0,0,0.02006688963,1
38,1,1,0.997,0.003,Yohn Farwynd,Lord ,1,Ironborn,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,0,0,0,0.01003344482,1
39,1,1,0.965,0.035,Yorkel,guardsmen,0,Valyrian,House Targaryen,,0,0,0,0,0,,,,,0,0,0,0,0,0,1
40,1,1,0.98,0.02,Yorko Terys,Unkown,1,Braavosi,,,0,0,0,1,0,,,,,0,0,0,0,0,0.02341137124,1
41,1,1,0.76,0.24,Yormwell,Maester,0,Targaryen,House Targaryen,,0,0,0,0,0,,,,,0,1,0,0,0,0.003344481605,1
42,0,1,0.759,0.241,Young Henly,Maester,1,Northmen,Night's Watch,,0,0,1,0,0,,,,,0,0,0,0,0,0.01337792642,0
43,1,0,0.184,0.816,Ysilla,Sailor,0,Andal,,Yandry,0,0,0,0,1,,,,1,1,0,0,0,0,0.04013377926,1
44,1,1,0.996,0.004,Zarabelo,Archmaester,0,,,,0,0,0,1,0,,,,,0,1,0,0,0,0.006688963211,1
45,1,1,0.809,0.191,Zei,prostitute,0,Northmen,None,,0,0,1,0,0,,,,,0,0,0,0,0,0.01337792642,1
46,1,0,0.498,0.502,Zekko,Khal,1,Dothraki,None,,0,0,0,0,1,,,,,0,0,0,0,0,0.01337792642,1
47,1,1,0.967,0.033,Zharaq zo Loraq,Liberator,1,Ghiscari,House of Loraq,,0,0,0,0,1,,,,,0,0,0,0,0,0.01003344482,1
48,1,1,0.984,0.016,Wenda, Kingswood Brotherhood member ,0,Northmen,Kingswood Brotherhood,,0,0,1,1,0,,,,,0,0,0,0,0,0.01672240803,1
49,1,1,0.864,0.136,Wex Pyke,Bastard,1,Ironborn,House Botley,,0,1,1,1,1,,,,,0,0,0,0,0,0.1137123746,1
50,1,0,0.207,0.793,Timett,red hand,1,Vale mountain clans,Burned Men,,1,1,1,0,1,,,,,0,1,0,0,0,0.07357859532,1
51,0,0,0.397,0.603,Joffrey Baratheon,Lord of Seven Kingdoms,1,Andal,,,0,0,0,0,0,1,1,1,,0,0,5,1,1,1,0
52,0,0,0.021,0.979,Laenor Velaryon,Ser,1,Valyrian,House Velaryon,Rhaenyra Targaryen,0,0,0,0,0,,,,1,1,1,0,0,0,0.1939799331,0
53,0,1,0.875,0.125,Leobald Tallhart,Castellan,1,Northmen,House Tallhart,Berena Hornwood,0,1,1,1,1,,,,1,1,1,0,0,0,0.110367893,0
54,0,0,0.069,0.931,Maegor I Targaryen,Lord of Seven Kingdoms,1,Valyrian,,,0,0,0,0,0,0,0,1,,0,0,0,0,1,0.7056856187,0
55,1,0,0.352,0.648,Margaery Tyrell,Seven Kingdoms,0,"Andal
",House Tyrell,Renly Baratheon,1,1,1,1,1,,,,0,1,1,3,1,1,1,1
56,0,0,0,1,Naerys Targaryen,PrincessQueen,0,Valyrian,House Targaryen,Aegon IV Targaryen,1,0,0,0,0,,,,0,1,1,12,1,0,0.220735786,0
57,1,1,0.988,0.012,Quence,,0,Braavosi,,,0,0,0,1,0,,,,,0,0,0,0,0,0.02006688963,1
58,1,1,0.898,0.102,Quellon Botley,Lord,1,Ironborn,House Botley,,0,0,0,1,0,,,,,0,0,0,0,0,0.04682274247,1
59,0,1,0.704,0.296,Quellon Greyjoy,Lord of the Iron Islands,1,Ironborn,House Greyjoy,Stonetree,0,0,0,1,0,,,,1,1,1,0,0,0,0.09030100334,0
60,0,0,0.09,0.91,Quentyn Blackwood,Lord,0,Northmen,House Blackwood,,0,0,0,0,0,,,,,0,1,0,0,0,0.02006688963,0
61,1,1,0.767,0.233,Quenton Greyjoy,captain,1,Ironborn,House Greyjoy,,0,0,0,1,0,,,,,0,0,0,0,0,0.0602006689,1
62,1,1,0.968,0.032,Quhuru Mo,captain,1,Summer Isles,,,0,1,0,1,0,,,,,0,0,0,0,0,0.04013377926,1
63,1,0,0.382,0.618,Quickfinger,Thief,1,,House Blackfyre,,0,0,0,0,0,,,,,0,0,0,0,0,0.01003344482,1
64,1,1,0.984,0.016,Quill,,1,Braavosi,,,0,0,0,1,0,,,,,0,0,0,0,0,0.01672240803,1
65,1,1,0.916,0.084,Quentin Tyrell,Ser,0,Andal,House Tyrell,,0,0,1,1,0,,,,,0,1,0,0,0,0.127090301,1
66,0,1,0.65,0.35,Quort,,1,,wildling,,0,0,1,0,0,,,,,0,0,0,0,0,0.01003344482,0
67,0,1,0.783,0.217,Qyle,,1,,,,0,1,0,0,0,,,,,0,0,0,0,0,0.01337792642,0
68,1,1,0.74,0.26,Rafe,,0,,,,0,0,0,0,0,,,,,0,0,0,0,0,0.006688963211,1
69,1,0,0.363,0.637,Racallio Ryndoon,Tyroshi captain,1,Tyroshi,Kingdom of the Three Daughters,,0,0,0,0,0,,,,,0,0,0,0,0,0.01003344482,1
70,1,1,0.988,0.012,Ragnor Pyke,member crew,0,Ironborn,House Greyjoy,,0,0,0,1,0,,,,,0,0,0,0,0,0.01003344482,1
71,1,1,0.709,0.291,Loras Tyrell,Rainbow Knight,0,Andal,House Tyrell,,1,0,0,0,0,,,,,0,0,0,0,0,0.003344481605,1
72,1,1,0.746,0.254,Randa,,0,,,,0,0,1,0,0,,,,,0,0,0,0,0,0.003344481605,1
73,0,0,0.132,0.868,Rast,Nightwatch,1,Northmen,Night's Watch,,1,1,1,0,0,,,,,0,0,0,0,0,0.06688963211,0
74,1,1,0.991,0.009,Rawney,Brother,1,,,,0,0,0,1,0,,,,,0,1,0,0,0,0.01003344482,1
75,1,1,0.716,0.284,Raymar Royce,Lord,1,,House Royce of the Gates of the Moon,,0,0,1,0,0,,,,,0,1,0,0,0,0.01337792642,1
76,1,1,0.982,0.018,Raymond Nayland,Ser,0,,House Nayland,,0,0,0,1,0,,,,,0,1,0,0,0,0.01672240803,1
77,1,1,0.923,0.077,Raymund Tyrell,Lord,0,Andal,House Tyrell,,0,0,1,1,0,,,,,0,0,0,0,0,0.127090301,1
78,1,1,0.998,0.002,Red Oarsman,captain,0,Ironborn,House Greyjoy,,0,0,0,1,1,,,,,0,0,0,0,0,0.01672240803,1
79,1,1,0.926,0.074,Red Lamb,Ser,1,Lhazarene,House Targaryen,,0,0,0,0,0,,,,,0,1,0,0,0,0,1
80,1,1,0.783,0.217,Redtusk,Ser,1,,,,0,0,0,0,0,,,,,0,1,0,0,0,0.01672240803,1
81,0,0,0.283,0.717,Red Rolfe,warrior,1,Ironborn,House Greyjoy,,0,1,0,0,0,,,,,0,0,0,0,0,0.01337792642,0
82,1,1,0.712,0.288,Redwyn,,0,,Night's Watch,,0,1,0,0,0,,,,,0,0,0,0,0,0.006688963211,1
83,1,1,0.843,0.157,Reynard Webber,Lord of Coldmoat,0,,House Webber,,0,0,0,0,0,,,,,0,1,0,0,0,0.006688963211,1
84,1,1,0.717,0.283,Reysen,,1,,,,0,1,0,0,0,,,,,0,0,0,0,0,0.02341137124,1
85,0,0,0.001,0.999,Rhaegel Targaryen,Prince of Dragonstone,1,Valyrian,House Targaryen,Alys Arryn,0,0,0,0,0,,,,1,1,1,3,1,0,0.09698996656,0
86,0,0,0.004,0.996,Rhaena Targaryen (daughter of Daemon),Lady,0,Valyrian,House Targaryen,Corwyn Corbray,0,0,0,0,0,,,,1,1,1,0,0,0,0.143812709,0
87,0,0,0,1,Rhaena Targaryen (daughter of Aegon III),PrincessSepta,0,Valyrian,House Targaryen,,0,0,0,0,0,,,,,0,1,0,0,0,0.07357859532,0
88,0,0,0.002,0.998,Rhaenys Targaryen,Queen,0,Valyrian,House Targaryen,Aegon I Targaryen,1,0,0,0,0,,,,0,1,1,1,1,0,0.2775919732,0
89,0,1,0.763,0.237,Rhaenys Targaryen (daughter of Rhaegar),Princess,0,,House Targaryen,,1,1,1,1,1,,,,,0,1,10,1,0,0.2441471572,0
90,1,1,0.99,0.01,Rhialta Vance,,0,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,0,0,0,0.01672240803,1
91,0,0,0.242,0.758,Rhaenys Targaryen (daughter of Aemon),Princess,0,Valyrian,House Targaryen,Corlys Velaryon,0,0,0,0,0,,,,0,1,1,0,0,0,0.143812709,0
92,1,1,0.559,0.441,Rhonda Rowan,,0,,House Rowan,Baelor Hightower,0,0,0,1,0,,,,1,1,0,0,0,0,0.05016722408,1
93,0,1,0.979,0.021,Richard Farrow,Ser,0,,House Farrow,,0,0,0,1,0,,,,,0,1,0,0,0,0.01672240803,0
94,1,0,0.03,0.97,Richard Lonmouth,Ser,1,,House Lonmouth,,0,0,1,0,0,,,,,0,1,0,0,0,0.02341137124,1
95,1,1,0.998,0.002,Rigney,Archmaester,1,,,,0,0,0,1,0,,,,,0,1,0,0,0,0.003344481605,1
96,1,1,0.705,0.295,Rob,,1,,House Osgrey,,0,0,0,0,0,,,,,0,0,0,0,0,0.003344481605,1
97,1,1,0.906,0.094,Rickard Tyrell,Lord,1,Andal,House Tyrell,,0,0,1,1,0,,,,,0,0,0,0,0,0.1237458194,1
98,1,1,0.718,0.282,Robb Reyne,Ser,1,,House Reyne,,0,0,0,0,0,,,,,0,1,0,0,0,0.006688963211,1
99,1,0,0.213,0.787,Robert Ashford,Ser,1,Reach,House Ashford,,0,0,0,0,0,,,,,0,1,0,0,0,0.02341137124,1
100,1,0,0.455,0.545,Robert Brax (son of Flement),,1,,House Brax,,0,1,1,1,0,,,,,0,0,0,0,0,0.1204013378,1
101,1,1,0.724,0.276,Robert Paege,Ser,0,,House Paege,,0,0,1,0,0,,,,,0,1,0,0,0,0.01003344482,1
102,0,0,0.036,0.964,Robb Stark,Lord,1,Northmen,House Stark,,0,0,0,0,0,0,0,1,,0,0,7,1,1,1,0
103,1,1,0.987,0.013,Robin,,1,,,,0,0,0,1,0,,,,,0,0,0,0,0,0.01672240803,1
104,1,1,0.768,0.232,Robert Frey (son of Raymund),,1,Rivermen,House Frey,,0,1,1,1,0,,,,,0,0,0,0,0,0.1471571906,1
105,1,1,0.759,0.241,Robin Greyjoy,,1,Ironborn,House Greyjoy,,0,0,0,1,0,,,,,0,0,0,0,0,0.0635451505,1
106,1,1,0.767,0.233,Robin Hollard,,1,,House Hollard,,0,0,0,1,0,,,,,0,0,0,0,0,0.02675585284,1
107,1,1,0.998,0.002,Rodrik Freeborn,,1,Ironborn,,,0,0,0,1,1,,,,,0,0,0,0,0,0.01337792642,1
108,1,1,0.989,0.011,Roelle,Septa,0,,House Tarth,,0,0,0,1,0,,,,,0,0,0,0,0,0,1
109,1,0,0.186,0.814,Rodrik Stark (son of Beron),Lord,1,Northmen,House Stark,Arya Flint,0,0,0,0,1,,,,1,1,0,0,0,0,0.1003344482,1
110,0,0,0.198,0.802,Roger of Pennytree,squire,1,,House Hayfords,,0,0,0,0,0,,,,,0,0,0,0,0,0.03010033445,0
111,1,1,0.982,0.018,Roggo,,0,Braavosi,,,0,0,0,1,0,,,,,0,0,0,0,0,0.01337792642,1
112,1,0,0.478,0.522,Roger Ryswell,,1,Northmen,House Ryswell,,0,0,0,1,1,,,,,0,0,0,0,0,0.04682274247,1
113,1,1,0.993,0.007,Rolder,,1,,House Lannister,,0,0,0,1,0,,,,,0,0,0,0,0,0,1
114,1,1,0.759,0.241,Roland Crakehall (Kingsguard),Ser,1,,House Crakehall,,0,0,0,0,0,,,,,0,1,0,0,0,0.02006688963,1
115,1,1,0.702,0.298,Rolfe,,1,,,,0,1,0,0,0,,,,,0,0,0,0,0,0.003344481605,1
116,1,1,0.943,0.057,Rolland Darklyn,Ser,1,,House Darklyn,,0,0,0,1,0,,,,,0,1,0,0,0,0.01003344482,1
117,1,1,0.762,0.238,Rollam Westerling,Sir,1,Andal,House Lannister,,0,0,1,1,0,,,,,0,0,0,0,0,0.04347826087,1
118,1,1,0.99,0.01,Romny Weaver,,1,Ironborn,House Weaver,,0,0,0,1,0,,,,,0,0,0,0,0,0.02006688963,1
119,1,0,0.394,0.606,Ronald Storm,Bastard,1,Northmen,House Connington,,0,0,0,0,1,,,,,0,0,0,0,0,0.04013377926,1
120,1,0,0.2,0.8,Ronnel Stout,member,0,Northmen,House Stout,,0,0,1,0,0,,,,,0,0,0,0,0,0.03344481605,1
121,1,1,0.739,0.261,Ronnel Harclay,ranger,0,Northmen,House Harclay,,0,0,1,0,0,,,,,0,0,0,0,0,0.01337792642,1
122,1,1,0.727,0.273,Roone,,1,,,,0,0,0,1,0,,,,,0,0,0,0,0,0.04013377926,1
123,1,1,0.989,0.011,Roone (maester),Maester,1,,,,0,0,1,1,0,,,,,0,1,0,0,0,0.01003344482,1
124,1,1,0.996,0.004,Roryn Drumm,the Reaver,0,Ironborn,House Drumm,,0,0,0,1,0,,,,,0,0,0,0,0,0.003344481605,1
125,1,0,0.478,0.522,Roose Ryswell,Lord,1,Northmen,House Ryswell,,0,0,0,1,1,,,,,0,0,0,0,0,0.03010033445,1
126,1,1,0.979,0.021,Rosamund Lannister,Lady,0,Andal,House Lannister of Lannisport,,0,0,0,1,1,,,,,0,0,0,0,0,0.02341137124,1
127,1,1,0.819,0.181,Rosey,Bastard,0,,House Targaryen,,0,0,0,1,0,,,,,0,0,0,0,0,0.03010033445,1
128,0,1,0.783,0.217,Rowan,,1,Free folk,,,0,0,0,0,1,,,,,0,0,0,0,0,0.0602006689,0
129,1,1,0.603,0.397,Rudge,,0,,Night's Watch,,1,0,0,0,0,,,,,0,0,0,0,0,0,1
130,0,0,0.141,0.859,Runciter,Grand Maester,1,,,,0,0,0,0,0,,,,,0,1,0,0,0,0.2441471572,0
131,1,1,0.971,0.029,Rupert Crabb,Ser,0,,House Crabb,,0,0,0,1,0,,,,,0,1,0,0,0,0.006688963211,1
132,1,1,0.999,0.001,Rus,,0,Ironmen,Drowned men,,0,0,0,1,0,,,,,0,0,0,0,0,0.01003344482,1
133,1,1,0.813,0.187,Rusty Flowers,,1,Northmen,Night's Watch,,0,0,0,0,1,,,,,0,0,0,0,0,0,1
134,1,1,0.997,0.003,Ryam,Archmaester,1,,,,0,0,0,1,0,,,,,0,1,0,0,0,0.01337792642,1
135,1,1,0.989,0.011,Ryk,,1,Free folk,,Munda,0,0,1,1,1,,,,1,1,0,0,0,0,0.02675585284,1
136,0,1,0.746,0.254,Ryles,,0,,Night's Watch,,0,0,1,0,0,,,,,0,0,0,0,0,0.01337792642,0
137,1,1,0.879,0.121,Rymolf,,0,Ironborn,House Greyjoy,,0,0,0,0,0,,,,,0,0,0,0,0,0,1
138,1,1,0.796,0.204,S'vrone,,0,Braavosi,,,0,0,0,0,0,,,,,0,0,0,0,0,0.01337792642,1
139,1,1,0.74,0.26,Saathos,,0,,,,0,1,0,0,0,,,,,0,0,0,0,0,0.003344481605,1
140,1,0,0.212,0.788,Sailor's Wife,sailor,0,,Happy Port,,0,0,0,0,0,,,,,0,0,0,0,0,0.04682274247,1
141,0,0,0.151,0.849,Sallor,sailor,1,Qartheen,Stormcrows,,0,0,1,0,0,,,,,0,0,0,0,0,0.03010033445,0
142,1,1,0.718,0.282,Salloreon,,1,,Antler Men,,0,1,0,0,0,,,,,0,0,0,0,0,0.01337792642,1
143,1,1,0.76,0.24,Sam Stoops,ser,1,,House Osgrey,,0,0,0,0,0,,,,,0,0,0,0,0,0.003344481605,1
144,1,1,0.978,0.022,Samwell Spicer,Ser,1,,House Spicer,,0,0,1,1,0,,,,,0,1,0,0,0,0.01337792642,1
145,1,1,0.877,0.123,Sargon Botley,,1,Ironborn,House Botley,,0,0,0,1,0,,,,,0,0,0,0,0,0.05351170569,1
146,1,1,0.773,0.227,Scarb,,0,,,,0,0,1,0,0,,,,,0,0,0,0,0,0.006688963211,1
147,1,1,0.702,0.298,Sawwood,,1,,Night's Watch,,0,0,1,0,0,,,,,0,0,0,0,0,0.01003344482,1
148,1,1,0.746,0.254,Sedgekins,,0,,,,0,0,1,0,0,,,,,0,0,0,0,0,0,1
149,1,0,0.035,0.965,Sefton Staunton,Septon,1,,House Staunton,,0,0,0,0,0,,,,,0,0,0,0,0,0.03010033445,1
150,1,1,0.671,0.329,Serra,,0,Lysene,,Illyrio Mopatis,0,0,0,0,1,,,,1,1,0,0,0,0,0.01672240803,1
151,1,1,0.81,0.19,Sharna,,0,,,Husband,0,0,1,1,0,,,,1,1,0,0,0,0,0.03678929766,1
152,1,1,0.737,0.263,Shella,,0,,,,1,0,0,0,0,,,,,0,0,0,0,0,0.003344481605,1
153,1,1,0.766,0.234,Sherrit,King,0,,,,0,0,1,0,0,,,,,0,1,0,0,0,0.003344481605,1
154,1,1,0.976,0.024,Shortear,,0,westermen,House Lannister,,0,0,0,1,0,,,,,0,0,0,0,0,0.01337792642,1
155,1,1,0.988,0.012,Shyra,,0,Northmen,House Stark,,0,1,0,1,0,,,,,0,0,0,0,0,0.02006688963,1
156,1,1,0.998,0.002,Sigfry Stonetree,,1,Ironborn,House Stonetree,,0,0,0,1,0,,,,,0,0,0,0,0,0.003344481605,1
157,1,0,0.193,0.807,Sigrin,,1,Ironborn,House Greyjoy,,0,1,1,0,0,,,,,0,0,0,0,0,0.02341137124,1
158,1,1,0.678,0.322,Simon Leygood,Ser,0,,House Leygood,,0,0,0,0,0,,,,,0,1,0,0,0,0.003344481605,1
159,1,1,0.746,0.254,Sky Blue Su,,0,,,,0,0,1,0,0,,,,,0,0,0,0,0,0,1
160,1,1,0.613,0.387,Skinner,,1,Northmen,House Bolton,,0,0,0,0,1,,,,,0,0,0,0,0,0.03344481605,1
161,1,1,0.817,0.183,Skittrick,,0,Northmen,House Stark,,0,1,0,0,0,,,,,0,0,0,0,0,0.006688963211,1
162,1,1,0.968,0.032,Skyte,,1,Ironborn,,,0,1,1,1,0,,,,,0,0,0,0,0,0.02341137124,1
163,1,1,0.998,0.002,Sloey,,0,Braavosi,,,0,0,0,1,0,,,,,0,0,0,0,0,0.01672240803,1
164,1,1,0.99,0.01,Spare Boot,,1,,Night's Watch,,0,0,1,1,1,,,,,0,0,0,0,0,0.01337792642,1
165,0,1,0.724,0.276,Softfoot,,1,,Night's Watch,,0,0,1,0,0,,,,,0,0,0,0,0,0.02006688963,0
166,0,1,0.813,0.187,Spotted Pate of Maidenpool,,1,,Night's Watch,,0,0,1,0,0,,,,,0,0,0,0,0,0.01337792642,0
167,0,0,0.323,0.677,Squint,,0,,House Greyjoy,,0,1,0,0,0,,,,,0,0,0,0,0,0.003344481605,0
168,0,0,0.08,0.92,Squirrel,,0,Free Folk,,,0,0,0,0,1,,,,,0,0,0,0,0,0.04347826087,0
169,1,1,0.998,0.002,Steffarion Sparr,,1,Ironborn,House Sparr,,0,0,0,1,0,,,,,0,0,0,0,0,0.02006688963,1
170,0,0,0.152,0.848,Stafford Lannister,Ser,1,Westerman,House Lannister,Myranda Lefford,1,1,1,1,1,,,,1,1,1,1,1,0,0.1705685619,0
171,1,0,0.13,0.87,Steffon Fossoway,Ser,1,,House Fossoway of Cider Hall,,0,0,0,0,0,,,,,0,1,0,0,0,0.04013377926,1
172,1,1,0.747,0.253,Steffon Hollard,Ser,0,,House Hollard,,0,0,0,1,0,,,,,0,1,0,0,0,0.02675585284,1
173,1,0,0.036,0.964,Stannis Baratheon,,1,,,,0,0,0,0,0,0,0,1,,0,0,4,1,1,1,1
174,1,1,0.598,0.402,Steffon Varner,Lord,1,,House Varner,,0,1,0,0,0,,,,,0,1,0,0,0,0.01337792642,1
175,0,0,0.494,0.506,Stone Thumbs,,0,Free Folk,,,0,0,1,0,0,,,,,0,0,0,0,0,0.003344481605,0
176,1,1,0.999,0.001,Stonehand,,0,Ironborn,,,0,0,0,1,1,,,,,0,0,0,0,0,0.01003344482,1
177,1,1,0.665,0.335,Sybassion,,1,Qarth,,,0,1,0,0,0,,,,,0,0,0,0,0,0.01337792642,1
178,0,0,0.328,0.672,Sylas,,0,,House Greyjoy,,0,1,0,0,0,,,,,0,0,0,0,0,0.006688963211,0
179,1,0,0.296,0.704,Symon Stripeback,,1,,House Targaryen,,0,0,0,0,1,,,,,0,0,0,0,0,0.04347826087,1
180,1,1,0.933,0.067,Symond Botley,,1,Ironborn,House Botley,,0,0,0,1,0,,,,,0,0,0,0,0,0.04682274247,1
181,1,1,0.714,0.286,Tagganaro,,1,Braavosi,,,0,0,0,1,0,,,,,0,0,0,0,0,0.03010033445,1
182,1,1,0.945,0.055,Tal Toraq,,1,Summer Isles,House Targaryen,,0,0,0,0,1,,,,,0,0,0,0,0,0.02341137124,1
183,1,1,0.982,0.018,Talea,,0,Braavosi,,,0,0,0,1,0,,,,,0,0,0,0,0,0.02006688963,1
184,1,0,0.213,0.787,Talla Tarly,,1,Andal,House Tyrell,,0,0,1,0,0,,,,,0,0,0,0,0,0.07023411371,1
185,1,1,0.968,0.032,Tansy,,0,,Peach,,0,0,1,1,0,,,,,0,0,0,0,0,0.02341137124,1
186,1,1,0.983,0.017,Tansy (orphan),,0,,,,0,0,0,1,0,,,,,0,0,0,0,0,0.006688963211,1
187,1,0,0.21,0.79,Tarber,,1,,,,0,1,0,0,0,,,,,0,0,0,0,0,0.03344481605,1
188,1,1,0.968,0.032,Terrance Lynderly,,0,,House Lynderly,,0,0,0,1,0,,,,,0,0,0,0,0,0.01672240803,1
189,1,1,0.98,0.02,Terro,,1,Braavosi,,,0,0,0,1,0,,,,,0,0,0,0,0,0.01337792642,1
190,1,1,0.666,0.334,Theo Frey,Ser,1,Rivermen,House Frey,,1,0,0,0,0,,,,,0,1,0,0,0,0.01337792642,1
191,1,1,0.994,0.006,Theobald,Seneschal,1,,,,0,0,0,1,0,,,,,0,1,0,0,0,0.02006688963,1
192,0,1,0.724,0.276,Thistle,,0,Free Folk,,,0,0,0,0,1,,,,,0,0,0,0,0,0.01672240803,0
193,1,0,0.212,0.788,Theon Stark,,1,Northmen,,,0,0,0,0,0,,,,,0,0,0,0,0,0.05685618729,1
194,1,1,0.997,0.003,Thormor Ironmaker,,1,Ironborn,House Ironmaker,,0,0,0,1,0,,,,,0,0,0,0,0,0.01672240803,1
